division_code,division_name_local
COR-D01,財務経理部
COR-D01-S01,財務課
COR-D01-S02,経理課
COR-D02,法務部
COR-D02-S01,法務一課
COR-D02-S02,法務二課
COR-D03,情報システム部
COR-D03-S01,情報システム一課
COR-D03-S02,情報システム二課
COR-D04,人事総務部
COR-D04-S01,人事課
COR-D04-S02,総務課
ENG-D01,第一技術部
ENG-D01-S01,第一技術一課
ENG-D01-S02,第一技術二課
ENG-D01-S03,第一技術三課
ENG-D02,第二技術部
ENG-D02-S01,第二技術一課
ENG-D02-S02,第二技術二課
ENG-D02-S03,第二技術三課
ENG-D03,第三技術部
ENG-D03-S01,第三技術一課
ENG-D03-S02,第三技術二課
ENG-D03-S03,第三技術三課
ENG-D04,第四技術部
ENG-D04-S01,第四技術一課
ENG-D04-S02,第四技術二課
ENG-D04-S03,第四技術三課
ENG-D05,第五技術部
ENG-D05-S01,第五技術一課
ENG-D05-S02,第五技術二課
ENG-D05-S03,第五技術三課
ENG-D06,第六技術部
ENG-D06-S01,第六技術一課
ENG-D06-S02,第六技術二課
ENG-D06-S03,第六技術三課
PRJ-D01,第一プロジェクト部
PRJ-D01-S01,第一プロジェクト一課
PRJ-D01-S02,第一プロジェクト二課
PRJ-D01-S03,第一プロジェクト三課
PRJ-D02,第二プロジェクト部
PRJ-D02-S01,第二プロジェクト一課
PRJ-D02-S02,第二プロジェクト二課
PRJ-D02-S03,第二プロジェクト三課
PRJ-D03,第三プロジェクト部
PRJ-D03-S01,第三プロジェクト一課
PRJ-D03-S02,第三プロジェクト二課
PRJ-D03-S03,第三プロジェクト三課
SLS-D01,第一営業部
SLS-D01-S01,第一営業一課
SLS-D01-S02,第一営業二課
SLS-D01-S03,第一営業三課
SLS-D02,第二営業部
SLS-D02-S01,第二営業一課
SLS-D02-S02,第二営業二課
SLS-D02-S03,第二営業三課
SLS-D03,第三営業部
SLS-D03-S01,第三営業一課
SLS-D03-S02,第三営業二課
SLS-D03-S03,第三営業三課
SLS-D04,第四営業部
SLS-D04-S01,第四営業一課
SLS-D04-S02,第四営業二課
SLS-D04-S03,第四営業三課
BRD,取締役会
COR,コーポレート本部
ENG,技術本部
PRJ,プロジェクト推進本部
SLS,営業本部
ALL,ソノエンジニアリング株式会社
